index,train_loss,train_acc,train_precision,train_recall,train_f1-score,val_loss,val_acc,val_precision,val_recall,val_f1-score
73,0.8578805807160168,74.49980926513672,47.10433948962838,38.81709338358484,39.23333982829981,0.8325563280797396,75.30097198486328,49.140429521544654,39.755177451282336,40.15167125730436
74,0.8571414638583253,74.72132110595703,47.80540761561299,38.947051776771836,39.41701599536305,0.8507148931260968,74.32120513916016,47.00801485575835,39.45715807521111,39.74341266906178
75,0.861989917188156,74.4736099243164,49.33586053164267,38.98392164078317,39.44378333091229,0.8484267252879064,74.71183013916016,45.146659041436074,39.638674020608875,39.79299447195228
76,0.8633444294696901,74.6689224243164,47.069747924978444,39.00243207334798,39.44311514676214,0.8518855364107695,74.53893280029297,46.3361142702137,39.236393257745405,39.6493383113621
77,0.86693929208488,74.52600860595703,46.96127248956372,39.06123007234077,39.365761333592474,0.8523794063290612,74.64138793945312,45.89324220719136,38.13450632655805,38.33559368201202
78,0.8655858726763144,74.37833404541016,47.799813993767955,38.8079361300754,39.28431280131325,0.8434904220162845,75.00640106201172,47.15054381543187,39.174533684789566,39.448344880889096
79,0.8636726366310585,74.609375,46.344739822095846,38.57203397411934,38.91000827180109,0.8391600324482215,75.03201293945312,48.58438146771787,39.146103730972904,39.31435821305758
80,0.8596986579458888,74.67130279541016,46.54086671290042,39.319481795093054,39.71809801819882,0.8412070877727915,74.916748046875,46.999156852517345,39.82676715299399,40.07459656933401
81,0.8561291803674,74.75943756103516,47.55045718897841,39.23460223926297,39.731046490427715,0.8535447914580829,74.44927978515625,45.186872773194494,39.108723701751515,39.37743019120036
82,0.854714243150339,74.6379623413086,45.997378502077055,39.303740226631014,39.58722748839655,0.8453355441327954,74.83350372314453,46.04885345403204,39.52593213228995,39.70274273292251
83,0.859332610194276,74.7356185913086,46.71917492326942,39.00887283712859,39.25843930528818,0.8367481092449094,75.09605407714844,46.66374796348482,39.414147161490405,39.930985982970675
84,0.8610908941524785,74.35213470458984,47.05703973594337,38.82298948708621,39.32128007870443,0.8524342501749758,75.0448226928711,47.1455031428217,39.44745236317229,39.960869781750304
85,0.8570732521574672,74.65463256835938,49.276173750803785,39.12940054933165,39.561214640425305,0.8463457835013749,74.62217712402344,48.51204036149506,39.588309089135066,40.02224468536214
86,0.8602533627574037,74.68798065185547,47.6716387541712,38.968536400133715,39.3751428432043,0.8387382638747575,75.14728546142578,47.055810972778,39.85645017850769,40.29869287074295
87,0.8595644410063581,74.5665054321289,46.86729562134905,39.080501517155746,39.40300458733005,0.8355478180236504,74.916748046875,45.052666677154626,39.567273471513076,39.6261502567301
88,0.8584901294330272,74.69989013671875,48.298693981348485,39.18264874826484,39.720210943930084,0.8448560721561557,74.86551666259766,47.34509926233654,39.27854031500629,39.55502313105743
89,0.8638639740827607,74.62605285644531,45.50527680109202,39.265138407006624,39.61594729250717,0.8483250571078942,74.67981719970703,44.40239629430141,39.05169692673432,39.307264303972424
90,0.8577352293380877,74.64510345458984,47.68376104729582,39.17849991691712,39.54046724098223,0.8563622443890962,74.2635726928711,47.71090768000471,38.863595606354615,39.4036528039198
91,0.8593916024376707,74.64034271240234,46.630157243773326,39.24593376255411,39.642863969796345,0.8400627694657592,74.89753723144531,48.01942602021064,39.267923343888604,39.57051891171685
92,0.8596871364407423,74.67607116699219,47.559343368180215,39.45876954246526,39.857407024193385,0.8443561272054422,75.03201293945312,45.85342138766165,39.6706646713458,39.937829326233576
93,0.862914205687802,74.30449676513672,46.02803244636345,38.97754210797017,39.31234314479055,0.8408936838634679,74.7886734008789,47.77138027883036,38.84149478510672,38.99698099171426
94,0.8603127111748952,74.49266815185547,45.667174039983415,39.0310285818233,39.3722537367972,0.8403676513765679,75.0448226928711,45.379665825728914,39.259853461717825,39.33490002696478
95,0.8644361485068391,74.39739227294922,48.2412435599984,38.71950563858432,39.06614586310993,0.8579670823499804,74.37883758544922,45.534965869563514,38.92107115255974,39.04894080017652
96,0.8603555792715492,74.71894073486328,46.90466150771096,39.13693507083602,39.61162550427232,0.8404974522160702,74.8719253540039,46.17681105579167,39.676884573297315,39.9656321906532
97,0.8661457743586564,74.45455932617188,47.737597352220874,38.91157345042226,39.36523654372192,0.8426057667028709,75.17289733886719,47.97848161520904,39.70586258206938,40.03150182440522
98,0.85818459129915,74.78086853027344,46.50317207571177,39.16703689559864,39.54480769373407,0.8321397392476191,75.16008758544922,44.51837355924745,39.53791156706578,39.613320355263724
99,0.8526608387871486,74.79277801513672,49.440530129756,39.24660634134843,39.78480135605826,0.842024285773762,75.23052978515625,46.66878852633895,39.61476571299039,39.95186250101457
